;testcookie;dialog.filestackapi.com;/dialog/comm_iframe;null;false
ajs_user_id;8008389;.way2automation.com;/;Mon Jan 19 00:30:55 SAMT 1970;false
ajs_group_id;null;.way2automation.com;/;Mon Jan 19 00:30:55 SAMT 1970;false
videospeed;1;courses.way2automation.com;/;null;false
signed_in;true;courses.way2automation.com;/;null;false
ahoy_events;%5B%7B%22id%22%3A%2268e40471-d720-4d92-82bf-d2508d3215d7%22%2C%22name%22%3A%22%24view%22%2C%22properties%22%3A%7B%22url%22%3A%22https%3A//courses.way2automation.com/%3Fsa%3DeyJ1c2VyX2lkIjo4MDA4Mzg5LCJleHBpcmVzX2F0IjoxNTExMTIwMDg1LjY0MjAyMywic2Nob29sX2lkIjo2NzMsImF1dGhlbnRpY2F0aW9uX3Rva2VuIjoiWnR6eExYZDZITmtEcTZ2c3REb1N6bXNZelpjVlhyaDRvdyJ9--3f455e722818761250984383fe5942c1031c36de%22%2C%22title%22%3A%22Way2Automation%22%2C%22page%22%3A%22/%22%7D%2C%22time%22%3A1511119487.252%7D%5D;courses.way2automation.com;/;Sun Jan 18 15:45:19 SAMT 1970;false
ahoy_visitor;c4d6e8d9-5c94-4183-af4d-967e03e72b96;courses.way2automation.com;/;Mon Jan 19 09:16:31 SAMT 1970;false
site_preview;logged_in;courses.way2automation.com;/;null;false
request_method;POST;courses.way2automation.com;/;null;false
_gat_fedoraTracker;1;.way2automation.com;/;Sun Jan 18 15:45:19 SAMT 1970;false
videoPlayer;html5;courses.way2automation.com;/;null;false
_session_id;ffc613954f2d3d2f033c87e6b1315f32;courses.way2automation.com;/;Sun Jan 18 16:28:31 SAMT 1970;false
_gid;GA1.2.11052598.1511119477;.way2automation.com;/;Sun Jan 18 15:46:45 SAMT 1970;false
wistiaVisitorKey;null;courses.way2automation.com;/;null;false
_gat;1;.way2automation.com;/;Sun Jan 18 15:45:19 SAMT 1970;false
affiliate_code;;courses.way2automation.com;/;Mon Jan 19 00:30:55 SAMT 1970;false
_ga;GA1.2.1238459087.1511119477;.way2automation.com;/;Mon Jan 19 09:16:31 SAMT 1970;false
__zlcmid;jZguPSHXS9kXYf;.way2automation.com;/;Mon Jan 19 00:30:55 SAMT 1970;false
ajs_anonymous_id;%227de4aa2b-aa6e-433c-85d0-76d740fdc17e%22;.way2automation.com;/;Mon Jan 19 00:30:55 SAMT 1970;false
_gat_teachableTracker;1;.way2automation.com;/;Sun Jan 18 15:45:19 SAMT 1970;false
__distillery;528bf60_f358b638-6d30-4081-8ef5-5b0343e9f077-bd9be427d-31729382b70f-3fcf;courses.way2automation.com;/;Mon Jan 19 00:30:55 SAMT 1970;false
ahoy_visit;1d002d46-9c7d-4f40-b448-186dead51c82;courses.way2automation.com;/;Sun Jan 18 15:45:33 SAMT 1970;false
